item,time_ms,fps,detections
0000006_00159_d_0000001_jpg.rf.e0d57c76076406416e9ce763b4079902.jpg,159.5680,6.2669,0
0000006_00611_d_0000002_jpg.rf.94e9b92284fafc2359108f5a4f3b218c.jpg,161.8540,6.1784,1
0000006_01111_d_0000003_jpg.rf.86a74514da8b77bd151324ef3439d04a.jpg,158.3350,6.3157,6
0000006_01275_d_0000004_jpg.rf.4b7f4c44ec79163b970f0126ccfd8dc4.jpg,157.4520,6.3511,1
0000006_03636_d_0000009_jpg.rf.5e6ba630ea09765ead42cd3b77de5f02.jpg,156.9770,6.3704,0
0000006_04309_d_0000011_jpg.rf.cb3657fe1b18d0103823e87a08a5772e.jpg,158.2920,6.3174,0
0000006_05168_d_0000013_jpg.rf.1a5175d28a52bee8daafdd2c63fb5579.jpg,157.7470,6.3393,0
0000006_07596_d_0000020_jpg.rf.ca1141dff1262fea621b416a184d14d5.jpg,161.1440,6.2056,1
0000011_00234_d_0000001_jpg.rf.79d6093d2bd063c5213d855e47f82983.jpg,157.9930,6.3294,29
0000011_01350_d_0000003_jpg.rf.2ab1589387a19e561ac3602da4caf49d.jpg,157.7890,6.3376,12
0000011_01955_d_0000004_jpg.rf.1658cf365c7b06139a04f1bc2fe71c1c.jpg,157.5910,6.3455,23
0000011_02800_d_0000005_jpg.rf.e177487351b8d1170be969b5154ae55d.jpg,158.2660,6.3185,23
0000011_04202_d_0000007_jpg.rf.5561b80bf85d12d010b5f5ec5cbc5a39.jpg,157.5410,6.3476,4
0000011_05068_d_0000008_jpg.rf.5ec886373d02941a4081130fdefacce0.jpg,160.5490,6.2286,24
0000011_06000_d_0000009_jpg.rf.2137abdca499d6219e992b957aca7b68.jpg,157.7710,6.3383,12
0000011_06595_d_0000010_jpg.rf.f90172abef4db92c62fdf36a74fc23d4.jpg,157.6700,6.3424,13
0000011_07307_d_0000011_jpg.rf.83df757ecfbc49adf5333dec6a4772e8.jpg,158.0660,6.3265,30
0000011_08299_d_0000012_jpg.rf.353f4c6172d61864de40a18a399f03ee.jpg,158.2700,6.3183,15
0000054_00786_d_0000001_jpg.rf.856e07e2f69f2f27588463d03b3ff172.jpg,157.8020,6.3371,37
0000063_00500_d_0000001_jpg.rf.adb56f10c29841073cb083d6666abb6c.jpg,161.0310,6.2100,51
0000063_02235_d_0000003_jpg.rf.a26ce7ed7c066138654f2ff626b87e1b.jpg,158.3220,6.3162,37
0000063_03139_d_0000004_jpg.rf.4e5e3c94b71e7999458d94316d9e988f.jpg,157.6310,6.3439,26
0000063_04000_d_0000005_jpg.rf.fff2cec101f7bc9e9687ed6832c7ca01.jpg,157.0740,6.3664,42
0000063_05000_d_0000006_jpg.rf.1f137a750eb8b3df82950d7686652572.jpg,163.3660,6.1212,23
0000063_06000_d_0000007_jpg.rf.dbc7d33abd37baf55d5fdb4571b1f150.jpg,160.3250,6.2373,21
0000063_07000_d_0000008_jpg.rf.3ea725b50df586beada2c32ae04bd265.jpg,161.1380,6.2059,45
0000063_08000_d_0000009_jpg.rf.3ec4d72116e00060b1675f4139e37236.jpg,158.7210,6.3004,53
0000063_08995_d_0000010_jpg.rf.7053995f2a69baf0ee3b3c512f270df2.jpg,157.5810,6.3459,25
0000063_10000_d_0000011_jpg.rf.85e85c93f45f699f9cfc696c68ea21bd.jpg,157.8790,6.3340,31
0000063_11000_d_0000012_jpg.rf.01dd70752a639be011359d6fcdb4d67a.jpg,158.0670,6.3264,40
0000063_11817_d_0000013_jpg.rf.b321afd569706b7f4c1ccb5dcc18add1.jpg,157.9050,6.3329,38
0000063_12500_d_0000014_jpg.rf.a0fc8b1bfa8d2bb489479b1fef2a2a60.jpg,161.1400,6.2058,56
0000066_01097_d_0000002_jpg.rf.cf18f2c01f6588d67dceb5662eae33c3.jpg,159.5560,6.2674,71
0000073_00377_d_0000001_jpg.rf.7496c73c9e29dcf1b80c7d93e0253c67.jpg,157.6150,6.3446,27
0000073_01275_d_0000002_jpg.rf.0d92ceb23b442b0518b3c54d24826b9c.jpg,157.6880,6.3416,33
0000073_03155_d_0000004_jpg.rf.35f96fbbc07d911bd0bf98d6568237c7.jpg,157.8410,6.3355,33
0000073_04009_d_0000005_jpg.rf.dbf2b22cb1e5642593d1293ea99e806b.jpg,157.9950,6.3293,32
0000073_05010_d_0000006_jpg.rf.762a575273aa59681f1276b9646c5272.jpg,169.2120,5.9097,29
0000073_05999_d_0000007_jpg.rf.6e22d0e3025108a78ff7eb99fd3ef0c9.jpg,158.7400,6.2996,26
0000074_01218_d_0000002_jpg.rf.d3b5a0b19d1c1e1cb170fc0e5fa06f7f.jpg,157.2280,6.3602,39
0000074_02723_d_0000005_jpg.rf.9d4d03a5405b01090787e4cbbb9696a0.jpg,158.0350,6.3277,30
0000074_03738_d_0000007_jpg.rf.ab1d837c2c57886b6b1e5273c88454b1.jpg,158.2130,6.3206,34
0000074_05715_d_0000011_jpg.rf.7f9229d1ae6a093a15aa98a39082871c.jpg,157.5850,6.3458,19
0000074_06746_d_0000013_jpg.rf.dfc46729360565466d9f983ec9d7ee9d.jpg,161.5370,6.1905,14
0000074_07297_d_0000014_jpg.rf.1bd66e4ef1fcf21082eff3a2005454a4.jpg,158.3590,6.3148,33
0000074_07850_d_0000015_jpg.rf.6cf12fc2351918f0c0b9ada222f8fc24.jpg,157.8430,6.3354,32
0000074_08202_d_0000016_jpg.rf.9030ae8acb5e5ee9046d92aaaa81781b.jpg,157.5980,6.3453,33
0000074_08777_d_0000017_jpg.rf.9aea82291cf35f8709857e8bafe28c1a.jpg,158.4080,6.3128,28
0000074_09738_d_0000019_jpg.rf.7868a16618c4a58fd2f46f1d137bc8ed.jpg,158.1360,6.3237,37
0000074_10218_d_0000020_jpg.rf.778d2fe14ae2a47cd70dd88792490af9.jpg,161.2700,6.2008,30
0000074_10730_d_0000021_jpg.rf.584528c98398e0115078231baa1ed5d2.jpg,159.2290,6.2803,32
0000074_11362_d_0000022_jpg.rf.0696e3a7a3d0cb6b5e506a14573f6076.jpg,157.8350,6.3357,31
0000074_11827_d_0000023_jpg.rf.6e4fe6004ebcc1b4d2a0e2fce72ad9d2.jpg,157.5580,6.3469,26
0000074_12322_d_0000024_jpg.rf.8df1bb4c4bd3c9bcde12f820d10fc8f0.jpg,157.7250,6.3401,23
0000074_13313_d_0000026_jpg.rf.a7b75c67c38f34f8ebf350ab3fc164fb.jpg,158.2750,6.3181,36
0000074_13875_d_0000027_jpg.rf.de1a73ec57ebe4e1d196d9b3e816af9d.jpg,161.2030,6.2034,28
0000074_14850_d_0000029_jpg.rf.0bc2c5c7d9a5d8d323ad0c3eb4ccc038.jpg,159.1830,6.2821,28
0000074_15298_d_0000030_jpg.rf.e64c8c8bbb3dbe4a67945f200372a709.jpg,157.8070,6.3369,24
0000074_15793_d_0000031_jpg.rf.f06d40643f32cda509a6c5e859729c4a.jpg,157.9100,6.3327,30
0000074_16210_d_0000032_jpg.rf.ebca26c48639da199c5c7747a19dc73e.jpg,158.6240,6.3042,22
0000078_00490_d_0000002_jpg.rf.173087f47d658634ad9c09805964561c.jpg,157.9800,6.3299,2
0000078_01314_d_0000004_jpg.rf.e868a0746a505bdef08fd3b737b95499.jpg,160.5190,6.2298,0
0000078_01938_d_0000006_jpg.rf.a0935440e5ff17b68ec111424b1be662.jpg,158.2450,6.3193,1
0000078_02778_d_0000008_jpg.rf.60feb50e3650a26c33baa0d51359d9ea.jpg,157.4770,6.3501,1
0000078_03171_d_0000009_jpg.rf.30195701712bb4b0e8484614780c9b1b.jpg,157.6260,6.3441,2
0000078_03315_d_0000010_jpg.rf.1e63a0b0c4cab2ddf6d5583218b05a5b.jpg,158.1980,6.3212,6
0000078_03810_d_0000011_jpg.rf.29a767c1e10dab1a7f04b02f0022f8ce.jpg,157.9970,6.3292,7
0000078_04210_d_0000012_jpg.rf.3d8a347cdad0b0d63361a03a130d771f.jpg,165.8850,6.0283,1
0000078_04546_d_0000013_jpg.rf.5b21016a82e80aaaa22875734db01775.jpg,165.2500,6.0514,1
0000078_06363_d_0000017_jpg.rf.14cca701098043c2b50cf0f6eb5f0ace.jpg,157.6030,6.3451,2
0000078_06586_d_0000019_jpg.rf.07946ffb48112f801013bbb4efc3142e.jpg,158.0070,6.3288,4
0000078_07266_d_0000021_jpg.rf.3844a004f816e19464b4d05b54f9b9fe.jpg,158.8460,6.2954,3
0000078_07819_d_0000023_jpg.rf.8142fe55a8189fe7129745abfbfacbf8.jpg,158.1670,6.3224,4
0000083_00803_d_0000003_jpg.rf.e4e7f96f35c5ff3515ff6d4c84777258.jpg,160.5040,6.2304,26
0000087_00009_d_0000001_jpg.rf.c902b03a5034ea86e9cb6d467d88834a.jpg,159.1100,6.2850,40
0000087_00299_d_0000002_jpg.rf.43d9902b012ad59f645d06e9f5689bc8.jpg,157.9980,6.3292,46
0000087_00700_d_0000003_jpg.rf.c713ff0128140aff63b17fbf3667db2c.jpg,157.9200,6.3323,46
0000087_01140_d_0000004_jpg.rf.14af92c71829a4bfed732575c8ee9dfd.jpg,157.6400,6.3436,47
0000087_01580_d_0000005_jpg.rf.96ad59d8991bd168daf18c9348a58215.jpg,157.3910,6.3536,35
0000105_01556_d_0000069_jpg.rf.695f69c42d5bd34ff2f8ed3bd9f81da3.jpg,161.5320,6.1907,7
